Dish Category,Dish Name,Diet Type,Allergens,Cuisine Type,Staple Ingredients,Meal Type,Flavor Profile
Cold,Avocado Swirl Salad,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Mixed Quinoa, Mango, Avocado, Onion, Tomato, Cucumber, Pomegranate, Pom Molasses Dressing, Microgreens)","Lunch, Dinner","Earthy, Fruity"
Cold,Summer Berry Salad,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Mixed Greens, Raspberry, Blueberry, Mulberry, Goma-ae Dressing, Pine Nuts, Goat Cheese)","Lunch, Dinner","Fruity, Creamy, Cheesy"
Cold,Burrata Ala Citron,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Burrata, Mixed Greens, Pomelo, Grapefruit, Malta Orange, Citron Dressing, Caramelised Hazelnut)","Lunch, Dinner",Citrusy
Cold,Aviator Salad,"Keto Diet, Gluten-free Diet",,European,"(Grilled Chicken, Romaine Lettuce, Baby Gem, Pickled Egg, Parmesan Chips, Greek Yoghurt Dressing)","Lunch, Dinner",Smoky
Cold,Coconut N Lime Ceviche,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Tender coconut, Cucumber, Avocado, Corn nuts, Fresh Jalapeño, Fresh Habanero, Pickled Onion, Lemon Zest, Coconut Herb Leche De Tigre)","Lunch, Dinner","Herbaceous, Citrusy"
Cold,Carpaccio De Salmon,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Sesame,Fusion European-Japanese,"(Salmon, Lime & Ponzu Dressing, Sesame Seeds, Wild Rocket, Chives, Capers)","Lunch, Dinner",Citrusy
Cold,Tuna Tartare,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Sesame,Japanese,"(Wasabi Avocado, Truffle Ponzu Dressed Tuna, Sesame Seeds)","Lunch, Dinner","Savory, Umami"
Cold,Salmon & Tuna Ceviche,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Salmon, Tuna, Charred Orange, Mulberry, Orange Chilly Leche De Tigre, Togarashi Truffle Oil)","Lunch, Dinner","Fruity, Citrusy"
Cold,Hamachi Tiradito,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Hamachi, Yuzu Leche de Tigre, Kewpie Mayo, Fresh Jalapeño, Togarashi, Wasabi Coriander Foam)","Lunch, Dinner","Savory, Umami"
Sushi,Truffle Avocado Maki,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Truffle Cream Cheese, Avocado, Spicy Mayo, Fried Lotus Stem, Gold Leaf)","Lunch, Dinner","Creamy, Cheesy, Spicy"
Sushi,Beet Asparagus Uramaki,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Red Beet, Asparagus, Cucumber, Cream Cheese, Tempura flakes, Chipotle Mayo)","Lunch, Dinner","Creamy, Cheesy"
Sushi,Enoki Inari Maki,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Tempura Fried Enoki, Cream Cheese, Tempura Flakes, Inari, Yellow Habanero Sauce, Chipotle Mayo, Chives)","Lunch, Dinner","Creamy, Cheesy"
Sushi,Gigi Bling Ehomaki,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",Soy,Japanese,"(24k Gold Coated Sushi Roll, Spicy Soy Glazed Watermelon, Yuzu Hazelnut Philadelphia Cream, Truffle)","Lunch, Dinner","Creamy, Spicy"
Sushi,Spider Roll,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Soft Shell Crab, Avocado, Teriyaki Sauce, Torched Spicy Mayo, Togarashi, Tobiko)","Lunch, Dinner",Spicy
Sushi,Dragon Roll,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Prawn Tempura, Avocado, Unagi, Habanero Sauce, Sriracha, Beet Nori Crisp, Tobiko)","Lunch, Dinner","Savory, Umami"
Sushi,Spicy Shifudo Kozi Roll,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Soy,Fusion European-Japanese,"(Crabstick, Tuna, Hamachi, Salmon, Mango, Kewpie Mayo, Cashew Koji Soy, Tobiko)","Lunch, Dinner",Fruity
Sushi,Sake Avocado Maki,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Fried Sushi, Salmon, Avocado, Mango Salsa, Beetroot Crisp, Yellow Habanero Sauce)","Lunch, Dinner",Fruity
Small Plates,Spicy Garlic Edamame,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Soy,Fusion European-Japanese,"(Sautéed Edamame Beans With Chilli, Garlic, Soy, Sea Salt Sprinkle)","Lunch, Dinner",Garlicky
Small Plates,Tokyo Fries,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,European,"(French Fries, Tokyo Spice, Parmesan, Truffle Dip)","Lunch, Dinner","Savory, Umami"
Small Plates,Yasai Itame,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet","Soy, Sesame, Mushrooms",Japanese,"(Wok Tossed Water Chestnut, Lotus Stem, Bok Choy, Mushrooms, Snow Peas, Edamame, Garlic Soy Sauce, Sesame Seeds)","Lunch, Dinner",Garlicky
Small Plates,Wild Mushroom Gyoza,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet","Soy, Mushrooms",Fusion European-Japanese,"(Mixed Mushrooms, Chinese Cabbage, Water Chestnut, Bok Choy, Spicy Soy Dip)","Lunch, Dinner",Spicy
Small Plates,Balsamic Phyllo Cups,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Mixed Vegetables, Cream Cheese, Balsamic Glaze)","Lunch, Dinner","Creamy, Cheesy"
Small Plates,Rock Tomorokoshi Tempura,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Tempura Corn, Togarashi Mayo, Matcha Salt)","Lunch, Dinner","Savory, Umami"
Small Plates,Spicy Tofu Teriyaki,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Tempura Fried Silken Tofu, Teriyaki Glaze, Togarashi, Negi)","Lunch, Dinner","Savory, Umami"
Small Plates,Miso Caramel Chicken,"Keto Diet, Gluten-free Diet",,Japanese,"(Wok Tossed Fried Chicken, Garlic, Ginger, Celery, Habanero Chilly, Miso Caramel Sauce)","Lunch, Dinner",Garlicky
Small Plates,Wafu Chicken,"Keto Diet, Gluten-free Diet",Sesame,Fusion European-Japanese,"(Wok Tossed Chicken Thigh, Broccoli, Garlic, Ginger, Leafy Greens, Wafu Dressing, Sesame Seeds)","Lunch, Dinner","Earthy, Garlicky"
Small Plates,Buta No Kakuni,"Keto Diet, Gluten-free Diet",Soy,Japanese,"(Braised Pork Belly, Leeks, Sweet Soy Sauce)","Lunch, Dinner","Savory, Umami"
Small Plates,Sicilian Prawns,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,European,"(Prawns Tossed In Butter Garlic, Dill, Chilli Flakes, Lemon Zest, Orange Zest)","Lunch, Dinner","Garlicky, Creamy, Citrusy, Buttery"
Small Plates,Zesty Prawn Phyllo Cups,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Avocado Mash, Tangy Prawns, Sour Cream)","Lunch, Dinner",Creamy
Small Plates,Chicken Gyoza,"Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Chicken, Leek & Chives filling, Spicy Ponzu)","Lunch, Dinner",Spicy
Small Plates,Ahi Tuna Nachos,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Wonton Sheet & Nori Sheet Nachos, Blue Fin Tuna, Habanero Drizzle, Chipotle Mayo, Wasabi Avocado Sauce, Togarashi, Chives, Gold Dust)","Lunch, Dinner","Savory, Umami"
Small Plates,Okinawa Yuzu Prawns,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Tempura Fried Prawns, Kizami Yuzu Butter Sauce, Garlic, Tanuki, Chives)","Lunch, Dinner","Garlicky, Creamy, Buttery"
Small Plates,Rock Shrimp,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Sesame,Japanese,"(Tempura Shrimp, Mentaiko Mayo, Matcha Salt, Basil Mayo, Habanero Sauce, Sesame seeds, Chives)","Lunch, Dinner",Herbaceous
Small Plates,Negima Chicken Yakitori,"Keto Diet, Gluten-free Diet",Sesame,Japanese,"(Chicken, Leeks, Guava Teriyaki, Negi, Sesame Seeds, Sunomono Salad)","Lunch, Dinner, Snacks","Savory, Umami"
Pizzas,Blueberry Flatbread,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,European,"(Fresh Blueberry, Cream Cheese, Ricotta, Balsamic Onion, Honey Drizzle, Sea Salt)","Lunch, Dinner","Fruity, Creamy, Cheesy"
Pizzas,Classic Margherita,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,European,"(San Marzano Sauce, Buffalo Mozzarella, Basil, Olive Oil)","Lunch, Dinner",Herbaceous
Pizzas,Pizza Bianca,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Parmesan Cream Sauce, Mozzarella, Cheddar, Feta, Burrata, Parmesan Crust)","Lunch, Dinner",Creamy
Pizzas,Funghi - e - Cipolla,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",Mushrooms,European,"(Parmesan Cream Sauce, Wild Mushrooms, Wild Rocket, Truffle Oil)","Lunch, Dinner",Creamy
Pizzas,Heartichoke Pizza,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,European,"(Artichoke, Sun-Dried Tomatoes, Olives, Caramelized Onion, San Marzano Sauce, Mozzarella Cheese)","Lunch, Dinner","Creamy, Cheesy"
Pizzas,Parma Rosa Pizza,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Pink Sauce, Cherry Tomato, Onion, Bell Peppers, Jalapeño, Mozzarella)","Lunch, Dinner","Spicy, Peppery"
Pizzas,Chicken Pesto Pizza,"Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Pesto Sauce, Chicken, Black Olives, Sundried Tomato, Burrata, Mozzarella)","Lunch, Dinner","Savory, Umami"
Pizzas,Chicken Chile Meco,"Keto Diet, Gluten-free Diet",,European,"(Chipotle Chicken, Bell Peppers, Onion, Fresh Jalapeño, Mozzarella Cheese, Cilantro Garnish)","Lunch, Dinner","Creamy, Cheesy, Spicy, Peppery"
Pizzas,Pepperoni,"Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(San Marzano Sauce, Pork Pepperoni, Mozzarella)","Lunch, Dinner","Spicy, Peppery"
Pastas,Gigi Spicy Vodka Pasta,"Vegetarian Diet, Jain Diet, Vegan Diet, Gluten-free Diet",,European,"(Penne Pasta, Tomato Spicy Vodka Pasta Sauce, Baby Spinach, Broccoli, Parmesan)","Lunch, Dinner","Earthy, Spicy"
